project,bug_id,folder,error
Chart,1,Chart-1-buggy,Not Compilable: test suite failed to compile
Chart,2,Chart-2-buggy,Not Compilable: test suite failed to compile
Chart,4,Chart-4-buggy,Not Compilable: test suite failed to compile
Chart,9,Chart-9-buggy,Not Compilable: test suite failed to compile
Chart,15,Chart-15-buggy,Not Compilable: test suite failed to compile
Chart,17,Chart-17-buggy,Not Compilable: test suite failed to compile
Chart,19,Chart-19-buggy,Not Compilable: test suite failed to compile
Chart,23,Chart-23-buggy,Not Compilable: test suite failed to compile
Chart,25,Chart-25-buggy,Not Compilable: test suite failed to compile
Chart,26,Chart-26-buggy,Not Compilable: test suite failed to compile
Cli,5,Cli-5-buggy,Not Compilable: test suite failed to compile
Cli,13,Cli-13-buggy,Not Compilable: test suite failed to compile
Cli,14,Cli-14-buggy,Not Compilable: test suite failed to compile
Cli,16,Cli-16-buggy,Not Compilable: test suite failed to compile
Cli,31,Cli-31-buggy,Not Compilable: test suite failed to compile
Cli,34,Cli-34-buggy,Not Compilable: test suite failed to compile
Cli,35,Cli-35-buggy,Not Compilable: test suite failed to compile
Cli,40,Cli-40-buggy,Not Compilable: test suite failed to compile
Closure,7,Closure-7-buggy,Not Compilable: test suite failed to compile
Closure,27,Closure-27-buggy,Not Compilable: test suite failed to compile
Closure,35,Closure-35-buggy,Not Compilable: test suite failed to compile
Closure,45,Closure-45-buggy,Not Compilable: test suite failed to compile
Closure,46,Closure-46-buggy,Not Compilable: test suite failed to compile
Closure,47,Closure-47-buggy,Not Compilable: test suite failed to compile
Closure,48,Closure-48-buggy,Not Compilable: test suite failed to compile
Closure,49,Closure-49-buggy,JaCoCo stage timeout (> 600s)
Closure,56,Closure-56-buggy,Not Compilable: test suite failed to compile
Closure,60,Closure-60-buggy,Not Compilable: test suite failed to compile
Closure,79,Closure-79-buggy,Not Compilable: test suite failed to compile
Closure,80,Closure-80-buggy,Not Compilable: test suite failed to compile
Closure,82,Closure-82-buggy,Not Compilable: test suite failed to compile
Closure,86,Closure-86-buggy,Not Compilable: test suite failed to compile
Closure,88,Closure-88-buggy,Not Compilable: test suite failed to compile
Closure,105,Closure-105-buggy,Not Compilable: test suite failed to compile
Closure,111,Closure-111-buggy,Not Compilable: test suite failed to compile
Closure,122,Closure-122-buggy,Not Compilable: test suite failed to compile
Closure,130,Closure-130-buggy,Not Compilable: test suite failed to compile
Closure,138,Closure-138-buggy,Not Compilable: test suite failed to compile
Closure,152,Closure-152-buggy,Not Compilable: test suite failed to compile
Closure,160,Closure-160-buggy,Not Compilable: test suite failed to compile
Closure,169,Closure-169-buggy,Not Compilable: test suite failed to compile
Closure,173,Closure-173-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,1,JacksonDatabind-1-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,3,JacksonDatabind-3-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,10,JacksonDatabind-10-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,11,JacksonDatabind-11-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,12,JacksonDatabind-12-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,15,JacksonDatabind-15-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,16,JacksonDatabind-16-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,20,JacksonDatabind-20-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,21,JacksonDatabind-21-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,24,JacksonDatabind-24-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,27,JacksonDatabind-27-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,28,JacksonDatabind-28-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,30,JacksonDatabind-30-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,32,JacksonDatabind-32-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,37,JacksonDatabind-37-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,39,JacksonDatabind-39-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,43,JacksonDatabind-43-buggy,Not Compilable: test suite failed to compile
Jacksondatabind,44,JacksonDatabind-44-buggy,Not Compilable: test suite failed to compile
