project,bug_id,folder,result
Codec,1,Codec-1-buggy,Pass
Codec,2,Codec-2-buggy,Not Pass
Codec,3,Codec-3-buggy,Not Pass
Codec,4,Codec-4-buggy,Pass
Codec,5,Codec-5-buggy,Pass
Codec,6,Codec-6-buggy,Pass
Codec,7,Codec-7-buggy,Pass
Codec,8,Codec-8-buggy,Not Pass
Codec,9,Codec-9-buggy,Pass
Codec,10,Codec-10-buggy,Pass
Codec,11,Codec-11-buggy,Not Pass
Codec,12,Codec-12-buggy,Not Pass
Codec,13,Codec-13-buggy,Not Pass
Codec,14,Codec-14-buggy,Not Compilable
Codec,15,Codec-15-buggy,Not Pass
Codec,16,Codec-16-buggy,Not Pass
Codec,17,Codec-17-buggy,Pass
Codec,18,Codec-18-buggy,Pass
