project,bug_id,add_test_file,label,label_if_others
Chart,9,add_test.java,Malformed Escape Sequences,
Cli,9,add_test.java,No Understanding Hallucination,
Cli,11,add_test1.java,No Understanding Hallucination,
Cli,14,add_test1.java,Missing Import or Dependency,
Cli,17,add_test.java,No Understanding Hallucination,
Cli,31,add_test1.java,Incorrect Output Expectation,
Cli,33,add_test.java,Overfitting Testcase,
Closure,5,add_test.java,No Understanding Hallucination,
Closure,21,add_test.java,Incorrect Output Expectation,
Closure,24,add_test.java,No Understanding Hallucination,
Closure,34,add_test.java,Incorrect Output Expectation,
Closure,35,add_test.java,Malformed Escape Sequences,
Closure,43,add_test.java,Compilable Unrelated Runtime Failure,
Closure,49,add_test.java,Incorrect Output Expectation,
Closure,50,add_test.java,No Understanding Hallucination,
Closure,56,add_test.java,Non-existent Symbol Reference,
Closure,61,add_test1.java,No Understanding Hallucination,
Closure,62,add_test2.java,No Understanding Hallucination,
Closure,74,add_test.java,Faulty Code Location Not Reached,
Closure,90,add_test1.java,Incorrect Output Expectation,
Closure,109,add_test1.java,Incorrect Output Expectation,
Closure,127,add_test2.java,Partial Test,
Closure,133,add_test1.java,No Understanding Hallucination,
Closure,137,add_test.java,Incomplete Bug-Triggering Condition,
Closure,137,add_test1.java,Incorrect Output Expectation,
Closure,146,add_test.java,No Understanding Hallucination,
Closure,173,add_test.java,Duplicated Declaration,
Codec,5,add_test1.java,Incomplete Bug-Triggering Condition,
Collections,3,add_test1.java,No Understanding Hallucination,
Collections,11,add_test.java,Overfitting Testcase,
Collections,15,add_test.java,Partial Test,
Collections,17,add_test.java,Incomplete Bug-Triggering Condition,
Collections,18,add_test1.java,Missing Import or Dependency,
Collections,20,add_test3.java,No Understanding Hallucination,
Collections,27,add_test.java,No Understanding Hallucination,
Collections,28,add_test1.java,Non-existent Symbol Reference,
Compress,3,add_test1.java,No Understanding Hallucination,
Compress,17,add_test2.java,Overfitting Testcase,
Compress,41,add_test.java,Missing Import or Dependency,
Compress,46,add_test.java,No Understanding Hallucination,
Compress,47,add_test1.java,Missing Import or Dependency,
Csv,2,add_test.java,Test-framework/Language Version Mismatch,
Csv,10,add_test.java,No Understanding Hallucination,
Csv,14,add_test.java,Partial Test,
Gson,11,add_test1.java,Malformed Escape Sequences,
Gson,16,add_test.java,Incomplete Bug-Triggering Condition,
JacksonCore,25,add_test1.java,Incorrect Exception Expectation,
JacksonDatabind,5,add_test.java,No Understanding Hallucination,
JacksonDatabind,22,add_test1.java,Partial Test,
JacksonDatabind,27,add_test1.java,Others,Illegal Local Static Class Declaration
JacksonDatabind,33,add_test1.java,Incomplete Bug-Triggering Condition,
JacksonDatabind,52,add_test.java,Compilable Unrelated Runtime Failure,
JacksonDatabind,56,add_test1.java,Faulty Code Location Not Reached,
JacksonDatabind,59,add_test1.java,Missing Import or Dependency,
JacksonDatabind,63,add_test1.java,Missing Import or Dependency,
JacksonDatabind,71,add_test.java,No Understanding Hallucination,
JacksonDatabind,83,add_test.java,Faulty Code Location Not Reached,
JacksonDatabind,85,add_test.java,Missing Import or Dependency,
JacksonDatabind,86,add_test.java,Incorrect Output Expectation,
Jsoup,3,add_test.java,Partial Test,
Jsoup,24,add_test1.java,Missing Import or Dependency,
Jsoup,27,add_test1.java,Malformed Escape Sequences,
Jsoup,28,add_test.java,Incorrect Output Expectation,
Jsoup,59,add_test.java,Incorrect Output Expectation,
Jsoup,66,add_test.java,Missing Import or Dependency,
Jsoup,73,add_test.java,Missing Import or Dependency,
Jsoup,76,add_test2.java,No Understanding Hallucination,
Lang,21,add_test.java,No Understanding Hallucination,
Lang,57,add_test.java,No Understanding Hallucination,
Lang,61,add_test.java,Incomplete Bug-Triggering Condition,
Math,8,add_test.java,No Understanding Hallucination,
Math,18,add_test1.java,Incorrect Output Expectation,
Math,24,add_test.java,Compilable Unrelated Runtime Failure,
Math,29,add_test.java,No Understanding Hallucination,
Math,50,add_test.java,Non-existent Symbol Reference,
Math,63,add_test.java,No Understanding Hallucination,
Math,65,add_test.java,Non-existent Symbol Reference,
Math,78,add_test1.java,Overfitting Testcase,
Math,81,add_test.java,Incomplete Bug-Triggering Condition,
Math,87,add_test.java,No Understanding Hallucination,
Math,100,add_test.java,Compilable Unrelated Runtime Failure,
Mockito,6,add_test.java,Incomplete Bug-Triggering Condition,
Mockito,13,add_test1.java,Incomplete Bug-Triggering Condition,
Mockito,14,add_test.java,No Understanding Hallucination,
Mockito,20,add_test.java,No Understanding Hallucination,
Mockito,21,add_test.java,No Understanding Hallucination,
Mockito,34,add_test.java,Missing Import or Dependency,
Mockito,37,add_test.java,Missing Import or Dependency,
Time,12,add_test1.java,Partial Test,
Time,25,add_test.java,Duplicated Declaration,
