project,bug_id,add_test_file,label
Chart,7,add_test.java,No Understanding Hallucination
Chart,8,add_test.java,Incomplete Bug-Triggering Condition
Cli,2,add_test.java,Incorrect Output Expectation
Cli,9,add_test.java,No Understanding Hallucination
Cli,10,add_test.java,No Understanding Hallucination
Cli,11,add_test.java,Non-existent Symbol Reference
Cli,14,add_test.java,No Understanding Hallucination
Cli,18,add_test.java,No Understanding Hallucination
Cli,20,add_test.java,No Understanding Hallucination
Cli,27,add_test.java,No Understanding Hallucination
Cli,31,add_test.java,No Understanding Hallucination
Closure,11,add_test.java,No Understanding Hallucination
Closure,23,add_test.java,Missing Test Method Wrapper
Closure,25,add_test.java,Incorrect Output Expectation
Closure,41,add_test.java,Missing Test Method Wrapper
Closure,50,add_test.java,Missing Test Method Wrapper
Closure,51,add_test.java,Incorrect Output Expectation
Closure,57,add_test.java,Non-existent Symbol Reference
Closure,66,add_test.java,Overfitting Testcase
Closure,67,add_test.java,No Understanding Hallucination
Closure,84,add_test.java,Incorrect Output Expectation
Closure,88,add_test.java,Duplicated Declaration
Closure,98,add_test.java,Partial Test
Closure,104,add_test.java,No Understanding Hallucination
Closure,116,add_test.java,No Understanding Hallucination
Closure,127,add_test.java,Incorrect Output Expectation
Closure,131,add_test.java,Missing Test Method Wrapper
Closure,157,add_test.java,Missing Test Method Wrapper
Closure,161,add_test.java,Malformed Escape Sequences
Closure,165,add_test.java,Duplicated Declaration
Codec,4,add_test.java,No Understanding Hallucination
Collections,17,add_test.java,No Understanding Hallucination
Collections,21,add_test.java,No Understanding Hallucination
Collections,23,add_test.java,No Understanding Hallucination
Compress,5,add_test.java,Incomplete Bug-Triggering Condition
Compress,20,add_test.java,Missing Import or Dependency
Compress,25,add_test.java,Missing Import or Dependency
Csv,6,add_test.java,Overfitting Testcase
Gson,3,add_test1.java,Partial Test
Gson,9,add_test.java,Partial Test
Gson,13,add_test.java,No Understanding Hallucination
Gson,17,add_test.java,Overfitting Testcase
JacksonCore,1,add_test.java,Partial Test
JacksonCore,5,add_test.java,No Understanding Hallucination
JacksonCore,6,add_test.java,Non-existent Symbol Reference
JacksonCore,8,add_test.java,Overfitting Testcase
JacksonCore,14,add_test.java,No Understanding Hallucination
JacksonDatabind,2,add_test.java,Incomplete Bug-Triggering Condition
JacksonDatabind,17,add_test.java,No Understanding Hallucination
JacksonDatabind,68,add_test.java,Missing Import or Dependency
JacksonDatabind,74,add_test.java,Incomplete Bug-Triggering Condition
JacksonDatabind,82,add_test.java,Incorrect Output Expectation
JacksonDatabind,86,add_test.java,No Understanding Hallucination
Jsoup,23,add_test.java,No Understanding Hallucination
Jsoup,62,add_test.java,Incorrect Output Expectation
Jsoup,66,add_test.java,Incomplete Bug-Triggering Condition
Jsoup,73,add_test.java,Missing Import or Dependency
Jsoup,86,add_test.java,Incorrect Output Expectation
JxPath,1,add_test.java,Incorrect Output Expectation
JxPath,16,add_test.java,Missing Test Method Wrapper
JxPath,17,add_test.java,No Understanding Hallucination
Lang,4,add_test.java,No Understanding Hallucination
Lang,6,add_test.java,Incomplete Bug-Triggering Condition
Lang,26,add_test.java,No Understanding Hallucination
Lang,41,add_test.java,Missing Test Method Wrapper
Lang,49,add_test.java,Non-existent Symbol Reference
Lang,54,add_test.java,No Understanding Hallucination
Math,8,add_test.java,No Understanding Hallucination
Math,10,add_test.java,No Understanding Hallucination
Math,13,add_test.java,No Understanding Hallucination
Math,19,add_test.java,Test-framework/Language Version Mismatch
Math,53,add_test.java,No Understanding Hallucination
Math,56,add_test.java,No Understanding Hallucination
Math,57,add_test.java,No Understanding Hallucination
Math,60,add_test.java,Incomplete Bug-Triggering Condition
Math,74,add_test.java,Missing Import or Dependency
Math,94,add_test.java,Duplicated Declaration
Math,100,add_test.java,No Understanding Hallucination
Math,105,add_test.java,Incomplete Bug-Triggering Condition
Math,106,add_test.java,No Understanding Hallucination
Mockito,24,add_test.java,Missing Import or Dependency
Mockito,35,add_test.java,Non-existent Symbol Reference
Time,1,add_test.java,Incomplete Bug-Triggering Condition
Time,6,add_test.java,No Understanding Hallucination
Time,14,add_test.java,No Understanding Hallucination
Time,19,add_test.java,Incomplete Bug-Triggering Condition
Time,26,add_test.java,Missing Import or Dependency
