model,project,bug_id,status
GPT5,Collections,1,pass
GPT5,Collections,2,not pass
GPT5,Collections,3,pass
GPT5,Collections,4,pass
GPT5,Collections,5,not pass
GPT5,Collections,6,pass
GPT5,Collections,7,not pass
GPT5,Collections,8,not pass
GPT5,Collections,9,not pass
GPT5,Collections,11,not pass
GPT5,Collections,12,not pass
GPT5,Collections,13,not pass
GPT5,Collections,14,not pass
GPT5,Collections,15,pass
GPT5,Collections,16,pass
GPT5,Collections,17,pass
GPT5,Collections,18,not pass
GPT5,Collections,19,pass
GPT5,Collections,20,not pass
GPT5,Collections,21,not pass
GPT5,Collections,22,pass
GPT5,Collections,23,not pass
GPT5,Collections,24,not pass
GPT5,Collections,25,not pass
GPT5,Collections,26,not compilable
GPT5,Collections,27,not pass
GPT5,Collections,28,not compilable
