model,project,bug_id,status
GPT5,Cli,1,pass
GPT5,Cli,2,not pass
GPT5,Cli,3,not pass
GPT5,Cli,4,not pass
GPT5,Cli,5,pass
GPT5,Cli,8,not pass
GPT5,Cli,9,pass
GPT5,Cli,10,pass
GPT5,Cli,11,not pass
GPT5,Cli,12,pass
GPT5,Cli,13,not pass
GPT5,Cli,14,pass
GPT5,Cli,15,not pass
GPT5,Cli,16,not compilable
GPT5,Cli,17,not pass
GPT5,Cli,18,pass
GPT5,Cli,19,pass
GPT5,Cli,20,not pass
GPT5,Cli,21,not pass
GPT5,Cli,22,not pass
GPT5,Cli,23,not pass
GPT5,Cli,24,not pass
GPT5,Cli,25,not compilable
GPT5,Cli,26,pass
GPT5,Cli,27,pass
GPT5,Cli,28,pass
GPT5,Cli,29,not pass
GPT5,Cli,30,not pass
GPT5,Cli,31,not pass
GPT5,Cli,32,not pass
GPT5,Cli,33,not pass
GPT5,Cli,34,not compilable
GPT5,Cli,35,pass
GPT5,Cli,37,not pass
GPT5,Cli,38,not pass
GPT5,Cli,39,not compilable
GPT5,Cli,40,not pass
