model,project,bug_id,status
GPT5,JxPath,1,not pass
GPT5,JxPath,2,not pass
GPT5,JxPath,3,not pass
GPT5,JxPath,4,not pass
GPT5,JxPath,5,not pass
GPT5,JxPath,6,not pass
GPT5,JxPath,7,not compilable
GPT5,JxPath,8,not pass
GPT5,JxPath,9,not pass
GPT5,JxPath,10,not pass
GPT5,JxPath,11,not pass
GPT5,JxPath,12,not pass
GPT5,JxPath,13,not pass
GPT5,JxPath,14,pass
GPT5,JxPath,15,not pass
GPT5,JxPath,16,not pass
GPT5,JxPath,17,pass
GPT5,JxPath,18,not pass
GPT5,JxPath,19,not pass
GPT5,JxPath,20,not pass
GPT5,JxPath,21,not pass
GPT5,JxPath,22,pass
