model,project,bug_id,status
GPT5,Time,1,not pass
GPT5,Time,2,not pass
GPT5,Time,3,pass
GPT5,Time,4,not pass
GPT5,Time,5,not pass
GPT5,Time,6,not pass
GPT5,Time,7,not pass
GPT5,Time,8,not pass
GPT5,Time,9,pass
GPT5,Time,10,not pass
GPT5,Time,12,not pass
GPT5,Time,13,not pass
GPT5,Time,14,not pass
GPT5,Time,15,pass
GPT5,Time,16,not pass
GPT5,Time,17,not pass
GPT5,Time,18,pass
GPT5,Time,19,not pass
GPT5,Time,20,pass
GPT5,Time,22,not pass
GPT5,Time,23,not pass
GPT5,Time,24,not pass
GPT5,Time,25,not pass
GPT5,Time,26,not pass
GPT5,Time,27,not pass
