project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,,difference between generated patch and developers' fix,fix the bug,new functionality,Is the testcase really trigger the bug,Is the testcase testing the new functionality
Chart,2,Chart-2-buggy_ind1,add_test.java,org.jfree.data.general.junit.DatasetUtilitiesTests,testIterateDomainBounds_EmptyDataset,Not Pass,Pass,Pass,,,,,,
Chart,2,Chart-2-buggy_ind2,add_test1.java,org.jfree.data.general.junit.DatasetUtilitiesTests,testIterateDomainBounds_AllNaN,Not Pass,Pass,Pass,,,,,,
Chart,2,Chart-2-buggy_ind3,add_test2.java,org.jfree.data.general.junit.DatasetUtilitiesTests,testIterateRangeBounds_EmptyDataset,Not Pass,Pass,Pass,,,,,,
Chart,2,Chart-2-buggy_ind4,add_test3.java,org.jfree.data.general.junit.DatasetUtilitiesTests,testIterateRangeBounds_AllNaN,Not Pass,Pass,Pass,,,,,,
Chart,22,Chart-22-buggy_ind1,add_test.java,org.jfree.data.junit.KeyedObjects2DTests,testGetObjectAfterRemoval,Not Pass,Pass,Pass,,,,,,
Chart,22,Chart-22-buggy_ind2,add_test1.java,org.jfree.data.junit.KeyedObjects2DTests,testGetObjectMultipleRowsSameColumn,Not Pass,Pass,Pass,,,,,,
Cli,3,Cli-3-buggy_ind3,add_test2.java,org.apache.commons.cli.PatternOptionBuilderTest,testIntegerNumber,Not Pass,Pass,Pass,,,,,,
Cli,20,Cli-20-buggy_ind1,add_test.java,org.apache.commons.cli.PosixParserTest,testStopWithUnknownLongOptionNoEquals,Not Pass,Pass,Pass,,,,,,
Cli,22,Cli-22-buggy_ind1,add_test.java,org.apache.commons.cli.ApplicationTest,testGroovyWithLongOptStopAtNonOption,Not Pass,Pass,Pass,,Partially Fixed,,,,
Cli,22,Cli-22-buggy_ind2,add_test1.java,org.apache.commons.cli.ParserTestCase,testStopAtNonOptionWithBurst,Not Pass,Pass,Pass,,,,,,
Cli,29,Cli-29-buggy_ind1,add_test.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesEmptyString,Not Pass,Pass,Pass,,,,,,
Cli,29,Cli-29-buggy_ind2,add_test1.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesNoQuotes,Not Pass,Pass,Pass,,,,,,
Cli,29,Cli-29-buggy_ind3,add_test2.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesLeadingOnly,Not Pass,Pass,Pass,,,,,,
Cli,29,Cli-29-buggy_ind4,add_test3.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesTrailingOnly,Not Pass,Pass,Pass,,,,,,
Cli,29,Cli-29-buggy_ind5,add_test4.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesDoubleQuote,Not Pass,Pass,Pass,,,,,,
Cli,30,Cli-30-buggy_ind1,add_test.java,org.apache.commons.cli.ParserTestCase,testPropertyOptionFalseValue,Not Pass,Pass,Pass,,,,,,
Cli,30,Cli-30-buggy_ind2,add_test1.java,org.apache.commons.cli.ParserTestCase,testPropertyOptionWithArg,Not Pass,Pass,Pass,,,,,,
Cli,30,Cli-30-buggy_ind3,add_test2.java,org.apache.commons.cli.OptionGroupTest,testThreeOptionsFromTwoGroups,Not Pass,Pass,Pass,,,,,,
Cli,32,Cli-32-buggy_ind1,add_test.java,org.apache.commons.cli.HelpFormatterTest,testFindWrapPosWithNewline,Not Pass,Pass,Pass,,,,,,
Cli,37,Cli-37-buggy_ind1,add_test.java,org.apache.commons.cli.bug.BugCLI265Test,shouldParseLongOptionAsNonShortOption,Not Pass,Pass,Pass,,,,,,
Cli,37,Cli-37-buggy_ind2,add_test1.java,org.apache.commons.cli.bug.BugCLI265Test,shouldHandleSingleDashAsNonOption,Not Pass,Pass,Pass,,,,,,
Cli,37,Cli-37-buggy_ind3,add_test2.java,org.apache.commons.cli.bug.BugCLI265Test,shouldParseMultipleShortOptionsWithDifferentPrefixes,Not Pass,Pass,Pass,,,,,,
Cli,38,Cli-38-buggy_ind1,add_test.java,org.apache.commons.cli.bug.BugCLI265Test,shouldParseSingleCharacterShortOption,Not Pass,Pass,Pass,,,,,,
Closure,17,Closure-17-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testConstWithTypeAndRValueWithoutType,Not Pass,Pass,Pass,,,,,,
Closure,17,Closure-17-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testConstWithNestedOrIdiomMismatch,Not Pass,Pass,Pass,,,,,,
Closure,17,Closure-17-buggy_ind3,add_test2.java,com.google.javascript.jscomp.TypeCheckTest,testConstWithObjectLiteralNoAnnotation,Not Pass,Pass,Pass,,,,,,
