file,batch_id,processing_status,results_url
z_requests/Chart/batch.json,msgbatch_0134Nrg9hgwCvRLM2DxgeV68,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_0134Nrg9hgwCvRLM2DxgeV68/results
z_requests/Cli/batch.json,msgbatch_01RwHdeZR8GkvSDLAgxkD4zA,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01RwHdeZR8GkvSDLAgxkD4zA/results
z_requests/Closure/batch.json,msgbatch_01EVZAtYYPcYX44jSWnbsQhR,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01EVZAtYYPcYX44jSWnbsQhR/results
z_requests/Closure/batch1.json,msgbatch_01HAfXsSXWwUCzX4gwSfYAjQ,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01HAfXsSXWwUCzX4gwSfYAjQ/results
z_requests/Closure/batch2.json,msgbatch_019j397vkNpZDTX7zrDgtjs1,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_019j397vkNpZDTX7zrDgtjs1/results
z_requests/Closure/batch3.json,msgbatch_019txR8YPkBkuC5cz22BSkHd,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_019txR8YPkBkuC5cz22BSkHd/results
z_requests/Closure/batch4.json,msgbatch_01NFTTn2HYXXpGyfDhtGEtvL,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01NFTTn2HYXXpGyfDhtGEtvL/results
z_requests/Codec/batch.json,msgbatch_01XHQu4YmrPPypj5c7WzxbbX,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01XHQu4YmrPPypj5c7WzxbbX/results
z_requests/Collections/batch.json,msgbatch_01TnsFwfFXmMHx1csRXdDhEU,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01TnsFwfFXmMHx1csRXdDhEU/results
z_requests/Compress/batch.json,msgbatch_019wJBmvvMVYqGQGh1boAfiA,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_019wJBmvvMVYqGQGh1boAfiA/results
z_requests/Csv/batch.json,msgbatch_01KVEiiBW2jKEm8694DLAyAN,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01KVEiiBW2jKEm8694DLAyAN/results
z_requests/Gson/batch.json,msgbatch_01Y2pHje9Qa6nu8hj729G4YK,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01Y2pHje9Qa6nu8hj729G4YK/results
z_requests/JacksonCore/batch.json,msgbatch_01WmkqiZkwmFPqFbYe9bz6MA,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01WmkqiZkwmFPqFbYe9bz6MA/results
z_requests/JacksonDatabind/batch.json,msgbatch_01QL6Qzc6AxWozuCeUiAvQe6,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01QL6Qzc6AxWozuCeUiAvQe6/results
z_requests/JacksonDatabind/batch1.json,msgbatch_01WGtqwYJhKN3HApHoxco1Eo,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01WGtqwYJhKN3HApHoxco1Eo/results
z_requests/JacksonDatabind/batch2.json,msgbatch_019i8mZpXTXJQxneynvZremM,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_019i8mZpXTXJQxneynvZremM/results
z_requests/JacksonXml/batch.json,msgbatch_017BczPVqEw83kUw3xkc7o1r,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_017BczPVqEw83kUw3xkc7o1r/results
z_requests/Jsoup/batch.json,msgbatch_01Uwt19e7SGB2Q1xXnkHJnUG,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01Uwt19e7SGB2Q1xXnkHJnUG/results
z_requests/Jsoup/batch1.json,msgbatch_01Dsj7KBCKR3FBAvcwRgXZQ2,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01Dsj7KBCKR3FBAvcwRgXZQ2/results
z_requests/JxPath/batch.json,msgbatch_018TaVx9dG4nKvYC4vY7yZLq,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_018TaVx9dG4nKvYC4vY7yZLq/results
z_requests/Lang/batch.json,msgbatch_01GpLNrkPbbLXBEr3vS3MCVu,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01GpLNrkPbbLXBEr3vS3MCVu/results
z_requests/Lang/batch1.json,msgbatch_015vJYXSg5NBWiXsztkrN1qc,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_015vJYXSg5NBWiXsztkrN1qc/results
z_requests/Math/batch.json,msgbatch_01DyyRcdrDe4ygyQYJU4EGSk,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01DyyRcdrDe4ygyQYJU4EGSk/results
z_requests/Math/batch1.json,msgbatch_01LD5SsnUCtJRLW8JcqpEqi7,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01LD5SsnUCtJRLW8JcqpEqi7/results
z_requests/Math/batch2.json,msgbatch_01HuQ2xrxGcmEcRj7G6rQyAM,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01HuQ2xrxGcmEcRj7G6rQyAM/results
z_requests/Mockito/batch.json,msgbatch_01Hc8cjvPBX36ZwYb5KeagTt,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01Hc8cjvPBX36ZwYb5KeagTt/results
z_requests/Time/batch.json,msgbatch_01196wMFDzHxrRab8p35sNjD,ended,https://api.anthropic.com/v1/messages/batches/msgbatch_01196wMFDzHxrRab8p35sNjD/results
