project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,patch,,testcase
Closure,55,Closure-55-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FunctionRewriterTest,testMixedGetterSetterNotReduced,Not Compilable,Pass,Not Compilable,Pass,,,
Collections,8,Collections-8-buggy_ind1,add_test.java,org.apache.commons.collections.buffer.TestUnboundedFifoBuffer,testCollections220_MultipleElements,Pass,Pass,Pass,Pass,,,
Cli,34,Cli-34-buggy_ind1,add_test.java,org.apache.commons.cli.OptionBuilderTest,testTypeNotResetAfterCreate,Pass,Not Pass,Pass,Pass,,,
Closure,26,Closure-26-buggy_ind3,add_test2.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testFilenameWithoutPrefix,Not Pass,Not Pass,Not Pass,Pass,,,
Time,26,Time-26-buggy_ind2,add_test1.java,org.joda.time.TestDateTimeZoneCutover,testAddWrapFieldInDstChange,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Closure,1,Closure-1-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CommandLineRunnerTest,testAdvancedModeRemovesUnusedParams,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Closure,126,Closure-126-buggy_ind2,add_test1.java,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontMinimizeExitsInTryFinally,Pass,Not Pass,Not Pass,Not Pass,,,
Jacksondatabind,63,JacksonDatabind-63-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.exc.ExceptionPathTest,testReferenceChainForTopLevelClass,Not Pass,Not Pass,Not Pass,Not Pass,,,
Mockito,36,Mockito-36-buggy_ind1,add_test.java,org.mockito.internal.invocation.InvocationTest,shouldAllowCallingRealMethodOnConcreteClass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Jacksondatabind,66,JacksonDatabind-66-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer,testCustomEnumKeyDeserializerWithNullKey,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Cli,29,Cli-29-buggy_ind1,add_test.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesEmptyString,Not Pass,Pass,Pass,Pass,,,
Jsoup,42,Jsoup-42-buggy_ind2,add_test1.java,org.jsoup.nodes.FormElementTest,skipsDisabledRadioButton,Not Pass,Not Pass,Pass,Pass,,,
Closure,88,Closure-88-buggy_ind2,add_test1.java,com.google.javascript.jscomp.DeadAssignmentsEliminationTest,testIssue297h,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Mockito,6,Mockito-6-buggy_ind1,add_test.java,org.mockitousage.matchers.AnyXMatchersAcceptNullsTest,shouldNotAcceptNullInAnyPrimitiveWrapperMatchersWithVerify,Not Compilable,Pass,Not Compilable,Pass,,,
Mockito,22,Mockito-22-buggy_ind2,add_test1.java,org.mockito.internal.matchers.EqualityTest,shouldHandleNullComparisons,Not Pass,Pass,Pass,Pass,,,
Lang,11,Lang-11-buggy_ind1,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_StartGreaterThanEnd,Pass,Not Pass,Pass,Pass,,,
Lang,5,Lang-5-buggy_ind2,add_test1.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865_AdditionalCase2,Pass,Not Pass,Pass,Pass,,,
Jsoup,74,Jsoup-74-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,testNormalizesMultipleConsecutiveInvisibles,Not Pass,Not Pass,Pass,Not Pass,,,
Collections,9,Collections-9-buggy_ind1,add_test.java,org.apache.commons.collections.TestExtendedProperties,testCombineWithMultipleProperties,Not Pass,Not Pass,Not Pass,Not Pass,,,
Math,78,Math-78-buggy_ind1,add_test.java,org.apache.commons.math.ode.events.EventStateTest,backwardCloseEvents,Not Pass,Not Pass,Not Pass,Pass,,,
Jacksondatabind,88,JacksonDatabind-88-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.jsontype.GenericTypeId1735Test,testNestedTypeCheckWithoutGenerics,Not Compilable,Not Pass,Not Compilable,Not Pass,,,
Mockito,37,Mockito-37-buggy_ind2,add_test1.java,org.mockito.internal.stubbing.answers.AnswersValidatorTest,shouldValidateThrowsExceptionAnswer,Not Compilable,Pass,Not Compilable,Pass,,,
Compress,37,Compress-37-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parsePaxHeaderWithMultipleBlankLines,Pass,Not Compilable,Not Compilable,Not Compilable,,,
Math,27,Math-27-buggy_ind3,add_test2.java,org.apache.commons.math3.fraction.FractionTest,testPercentageValueWithBothLargeValues,Pass,Pass,Pass,Pass,,,
Math,29,Math-29-buggy_ind1,add_test.java,org.apache.commons.math3.linear.RealVectorAbstractTest,testEbeDivideSameType,Pass,Not Compilable,Not Compilable,Not Compilable,,,
Time,6,Time-6-buggy_ind3,add_test2.java,org.joda.time.chrono.TestGJDate,test_cutoverAtYearZero,Not Pass,Not Pass,Pass,Pass,,,
Math,11,Math-11-buggy_ind2,add_test1.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testTrivariateDistribution,Pass,Not Pass,Pass,Pass,,,
Codec,5,Codec-5-buggy_ind1,add_test.java,org.apache.commons.codec.binary.Base64InputStreamTest,testModulus2EOF,Pass,Not Pass,Pass,Pass,,,
Compress,47,Compress-47-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,canReadEntryDataForImplodingMethod,Not Pass,Pass,Pass,Not Pass,,,
Math,24,Math-24-buggy_ind2,add_test1.java,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest,testDefaultTerminationReturnsBest,Not Compilable,Pass,Not Compilable,Pass,,,
Lang,27,Lang-27-buggy_ind1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberDoubleWithAllZeros,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,
Mockito,28,Mockito-28-buggy_ind1,add_test.java,org.mockitousage.bugs.InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest,mock_should_not_be_injected_into_multiple_compatible_fields,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Mockito,3,Mockito-3-buggy_ind1,add_test.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_varargs_with_single_element,Not Pass,Not Pass,Not Pass,Pass,,,
Closure,113,Closure-113-buggy_ind2,add_test1.java,com.google.javascript.jscomp.VarCheckTest,testNoUndeclaredVarWithUnrecognizedRequireInExpression,Not Pass,Not Pass,Not Pass,Not Pass,,,
Time,20,Time-20-buggy_ind1,add_test.java,org.joda.time.format.TestDateTimeFormatterBuilder,test_printParseZonePrefixMatch,Pass,Pass,Pass,Pass,,,
Gson,2,Gson-2-buggy_ind2,add_test1.java,com.google.gson.functional.DefaultTypeAdaptersTest,testJsonElementArrayTypeMismatch,Not Pass,Not Pass,Not Pass,Pass,,,
Lang,20,Lang-20-buggy_ind1,add_test.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayChar_MultipleElements,Not Pass,Pass,Pass,Pass,,,
Compress,41,Compress-41-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,testInvalidSignatureAfterValidEntry,Pass,Not Compilable,Not Compilable,Not Compilable,,,
Jacksondatabind,97,JacksonDatabind-97-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.node.POJONodeTest,testPOJONodeWithSimpleValue,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,
Math,98,Math-98-buggy_ind3,add_test2.java,org.apache.commons.math.linear.BigMatrixImplTest,testOperateSingleRowMatrix,Pass,Not Pass,Pass,Pass,,,
Jsoup,46,Jsoup-46-buggy_ind1,add_test.java,org.jsoup.nodes.DocumentTest,testNbspWithUtf8Xhtml,Pass,Pass,Pass,Pass,,,
Closure,62,Closure-62-buggy_ind1,add_test.java,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorAtExactEndOfLine,Pass,Not Pass,Pass,Pass,,,
Codec,4,Codec-4-buggy_ind2,add_test1.java,org.apache.commons.codec.binary.Base64Codec13Test,testBase64DefaultConstructorChunking,Pass,Not Pass,Pass,Pass,,,
Chart,5,Chart-5-buggy_ind1,add_test.java,org.jfree.data.xy.junit.XYSeriesTests,testAddOrUpdateWithDuplicatesNotAllowedAndAutoSort,Pass,Pass,Pass,Pass,,,
Jacksoncore,26,JacksonCore-26-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.async.AsyncLocationTest,testLocationOffsetsMultipleFeedsLineNumber,Not Pass,Pass,Pass,Pass,,,
Closure,172,Closure-172-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testIssue1024_AdditionalCase1,Pass,Pass,Pass,Pass,,,
Jacksondatabind,37,JacksonDatabind-37-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.objectid.Objecid1083Test,testNarrowWithSubclass,Not Compilable,Not Pass,Not Compilable,Pass,,,
Jsoup,76,Jsoup-76-buggy_ind2,add_test1.java,org.jsoup.parser.HtmlParserTest,textareaSkipsFirstNewline,Not Compilable,Not Pass,Not Compilable,Not Pass,,,
Closure,152,Closure-152-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testBackwardsTypedefUse5,Not Pass,Not Pass,Not Pass,Not Pass,,,
Jacksondatabind,47,JacksonDatabind-47-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.ser.TestJsonSerialize,testGeneralizedAnnotation,Not Pass,Not Pass,Not Pass,Not Pass,,,
Compress,24,Compress-24-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalMultipleTrailingSpacesAndNuls,Not Pass,Pass,Pass,Pass,,,
Closure,7,Closure-7-buggy_ind2,add_test1.java,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest,testTypeof4,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,
Jacksoncore,26,JacksonCore-26-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.async.AsyncLocationTest,testLocationOffsetsWithEmptyFirstChunk,Not Pass,Not Pass,Not Pass,Not Pass,,,
Cli,40,Cli-40-buggy_ind1,add_test.java,org.apache.commons.cli.TypeHandlerTest,testCreateValueBoolean_failure,Pass,Not Pass,Pass,Pass,,,
Closure,55,Closure-55-buggy_ind3,add_test2.java,com.google.javascript.jscomp.FunctionRewriterTest,testRegularFunctionExpressionReduced,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Jacksondatabind,33,JacksonDatabind-33-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.struct.TestUnwrapped,testUnwrappedWithJsonGetter,Not Pass,Pass,Pass,Pass,,,
Compress,36,Compress-36-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.sevenz.SevenZFileTest,readMultipleEntriesWithEmptyStreams,Not Pass,Not Pass,Not Pass,Pass,,,
Math,67,Math-67-buggy_ind1,add_test.java,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest,testQuinticMax,Not Compilable,Not Pass,Not Compilable,Not Pass,,,
Compress,8,Compress-8-buggy_ind4,add_test3.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingNul,Not Pass,Pass,Pass,Pass,,,
Mockito,31,Mockito-31-buggy_ind3,add_test2.java,org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest,shouldPrintMethodCallWithMultipleArgs,Pass,Not Pass,Not Pass,Not Pass,,,
Csv,3,Csv-3-buggy_ind1,add_test.java,org.apache.commons.csv.CSVLexerTest,testEscapedDigit,Not Compilable,Not Pass,Not Compilable,Pass,,,
Jacksondatabind,99,JacksonDatabind-99-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.type.TestTypeFactory,testCanonicalNamesAdditional3,Pass,Pass,Pass,Pass,,,
Closure,75,Closure-75-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testVerticalTabNotWhitespace,Not Pass,Not Pass,Not Pass,Pass,,,
Jacksondatabind,15,JacksonDatabind-15-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.convert.TestConvertingSerializer,testIssue731WithNestedConverter,Not Compilable,Not Pass,Not Compilable,Pass,,,
Jacksondatabind,97,JacksonDatabind-97-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.node.POJONodeTest,testPOJONodeWithNullValue,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,
Closure,12,Closure-12-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testExceptionHandlerWithFinally,Not Compilable,Not Pass,Not Compilable,Pass,,,
Lang,31,Lang-31-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyCharArrayWithLoneSurrogates,Pass,Not Pass,Not Pass,Not Pass,,,
Csv,7,Csv-7-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testNoDuplicateHeaderEntriesWithEmptyHeader,Not Pass,Pass,Pass,Pass,,,
Jsoup,53,Jsoup-53-buggy_ind1,add_test.java,org.jsoup.select.SelectorTest,attributeWithUnbalancedBracketsThrows,Not Pass,Not Pass,Not Pass,Not Pass,,,
Cli,11,Cli-11-buggy_ind3,add_test2.java,org.apache.commons.cli.HelpFormatterTest,testPrintOptionWithValidArgNameUsage,Pass,Pass,Pass,Pass,,,
Cli,8,Cli-8-buggy_ind1,add_test.java,org.apache.commons.cli.HelpFormatterTest,testPrintWrappedLongWordWithPadding,Pass,Not Pass,Not Pass,Not Pass,,,
Jacksondatabind,67,JacksonDatabind-67-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer,testNonEnumKeyWithModifier,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,
Jsoup,58,Jsoup-58-buggy_ind6,add_test5.java,org.jsoup.safety.CleanerTest,testIsValidWithDisallowedAttribute,Not Pass,Pass,Pass,Pass,,,
Chart,17,Chart-17-buggy_ind1,add_test.java,org.jfree.data.time.junit.TimeSeriesTests,testCloneWithSingleItem,Pass,Pass,Pass,Pass,,,
Closure,71,Closure-71-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckAccessControlsTest,testNoPrivateAccessForProperties6_AdditionalBranch,Not Pass,Not Pass,Not Pass,Not Pass,,,
Closure,92,Closure-92-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ProcessClosurePrimitivesTest,testProvideInIndependentModules6,Pass,Pass,Pass,Pass,,,
Jsoup,8,Jsoup-8-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,orphanedElementWithAttributes,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,
Jsoup,81,Jsoup-81-buggy_ind2,add_test1.java,org.jsoup.helper.DataUtilTest,supportsXmlCharsetDeclarationWithSpaces,Not Compilable,Not Pass,Not Compilable,Pass,,,
Closure,172,Closure-172-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testIssue1024_AdditionalCase2,Pass,Pass,Pass,Pass,,,
Jsoup,58,Jsoup-58-buggy_ind2,add_test1.java,org.jsoup.safety.CleanerTest,testIsValidWithWhitespaceOnly,Not Pass,Pass,Pass,Pass,,,
Jacksoncore,18,JacksonCore-18-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures,testBigDecimalWithoutPlainFeature,Not Compilable,Pass,Not Compilable,Pass,,,
Closure,8,Closure-8-buggy_ind1,add_test.java,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testCannotRedeclareFunctionName,Pass,Pass,Pass,Pass,,,
Jsoup,70,Jsoup-70-buggy_ind2,add_test1.java,org.jsoup.nodes.ElementTest,testDoesNotKeepPreTextAtDepthSix,Pass,Pass,Pass,Pass,,,
Jsoup,34,Jsoup-34-buggy_ind2,add_test1.java,org.jsoup.parser.CharacterReaderTest,nextIndexOfSequenceExactLength,Pass,Pass,Pass,Pass,,,
Jacksondatabind,109,JacksonDatabind-109-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.ser.jdk.BigDecimalPlain2230Test,testBigDecimalWithoutStringShape,Not Compilable,Pass,Not Compilable,Pass,,,
Chart,7,Chart-7-buggy,add_test.java,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMinMiddleIndex,Pass,Not Compilable,Not Compilable,Not Compilable,,,
Cli,5,Cli-5-buggy_ind3,add_test2.java,org.apache.commons.cli.UtilTest,testStripLeadingHyphensTripleHyphen,Pass,Pass,Pass,Pass,,,
Closure,38,Closure-38-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testNegativeZeroAlone,Not Pass,Pass,Pass,Pass,,,
Compress,22,Compress-22-buggy_ind1,add_test.java,org.apache.commons.compress.compressors.bzip2.PythonTruncatedBzip2Test,testMultipleReadsAfterEndOfStream,Not Pass,Not Pass,Not Pass,Not Pass,,,
Cli,21,Cli-21-buggy_ind1,add_test.java,org.apache.commons.cli2.bug.BugCLI150Test,testPositiveNumber,Pass,Pass,Pass,Pass,,,
Closure,143,Closure-143-buggy_ind1,add_test.java,com.google.javascript.jscomp.CommandLineRunnerTest,testDefineFlag_DoubleQuotedString,Not Pass,Not Pass,Pass,Pass,,,
Jsoup,37,Jsoup-37-buggy_ind3,add_test2.java,org.jsoup.nodes.ElementTest,testPrettyPrintStillTrims,Not Compilable,Pass,Not Compilable,Pass,,,
