project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result
Cli,20,Cli-20-buggy_ind3,add_test2.java,org.apache.commons.cli.PosixParserTest,testStopWithMixedKnownUnknown,Not Pass,Not Pass,Pass
Cli,23,Cli-23-buggy_ind1,add_test.java,org.apache.commons.cli.bug.BugCLI162Test,testWrappingWithPaddingExactFit,Not Pass,Not Pass,Pass
Cli,23,Cli-23-buggy_ind2,add_test1.java,org.apache.commons.cli.bug.BugCLI162Test,testWrappingWithLargePadding,Not Pass,Not Pass,Pass
Cli,23,Cli-23-buggy_ind3,add_test2.java,org.apache.commons.cli.bug.BugCLI162Test,testWrappingMultipleIterations,Not Pass,Not Pass,Pass
Cli,32,Cli-32-buggy_ind2,add_test1.java,org.apache.commons.cli.HelpFormatterTest,testFindWrapPosEdgeCases,Not Pass,Not Pass,Pass
Closure,9,Closure-9-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleNameNoPrefix,Not Pass,Not Pass,Pass
Closure,9,Closure-9-buggy_ind3,add_test2.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleNameEmptyPrefix,Not Pass,Not Pass,Pass
Closure,20,Closure-20-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testSimpleFunctionCallMultipleArgs,Not Pass,Not Pass,Pass
Closure,23,Closure-23-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldGetElemMultipleHoles,Not Pass,Not Pass,Pass
Closure,27,Closure-27-buggy_ind1,add_test.java,com.google.javascript.rhino.IRTest,testTryFinallyWithStatements,Not Pass,Not Pass,Pass
Closure,29,Closure-29-buggy_ind1,add_test.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testObjectPropertyAccessNotInlinable,Not Pass,Not Pass,Pass
Closure,29,Closure-29-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testObjectPropertyChainAccess,Not Pass,Not Pass,Pass
