project,bug_id,label,overfitting,label_if_others
Closure,55,Non-existent Symbol Reference,No,
Collections,8,Test-Specific Heuristic Overfitting,Yes,
Cli,34,No Repair Hallucination,No,
Closure,26,Incorrect Causal Localization,No,
Time,26,Non-existent Symbol Reference,No,
Closure,1,Non-existent Symbol Reference,No,
Closure,126,Others,Yes,Redundant Early Return
JacksonDatabind,63,Partial Semantic Repair,No,
Mockito,36,Missing Import or Dependency,No,
JacksonDatabind,66,Missing Import or Dependency,No,
Cli,29,Incorrect Causal Localization,No,
Jsoup,42,Partial Semantic Repair,No,
Closure,88,Non-existent Symbol Reference,No,
Mockito,6,Incorrect API Usage,No,
Mockito,22,Incorrect Causal Localization,No,
Lang,11,Incorrect Boundary Check,Yes,
Lang,5,No Repair Hallucination,No,
Jsoup,74,Incorrect Repair Strategy,No,
Collections,9,Incorrect Causal Localization,No,
Math,78,Incorrect Causal Localization,No,
JacksonDatabind,88,Non-existent Symbol Reference,No,
Mockito,37,Non-existent Symbol Reference,No,
Compress,37,Extraneous Conditional Logic,Yes,
Math,27,No Repair Hallucination,No,
Math,29,No Repair Hallucination,No,
Time,6,Incorrect Causal Localization,No,
Math,11,No Repair Hallucination,No,
Codec,5,No Repair Hallucination,No,
Compress,47,Incorrect Causal Localization,No,
Math,24,Others,No,Extra new function
Lang,27,Incorrect Causal Localization,No,
Mockito,28,Non-existent Symbol Reference,No,
Mockito,3,Incorrect Repair Strategy,No,
Closure,113,Incorrect Boundary Check,No,
Time,20,No Repair Hallucination,No,
Gson,2,Incorrect Causal Localization,No,
Lang,20,Incorrect Repair Strategy,No,
Compress,41,No Repair Hallucination,No,
JacksonDatabind,97,No Repair Hallucination,No,
Math,98,No Repair Hallucination,No,
Jsoup,46,Extraneous Conditional Logic,Yes,
Closure,62,No Repair Hallucination,No,
Codec,4,No Repair Hallucination,No,
Chart,5,Test-Specific Heuristic Overfitting,Yes,
JacksonCore,26,Incorrect Causal Localization,No,
Closure,172,No Repair Hallucination,No,
JacksonDatabind,37,Non-existent Symbol Reference,No,
Jsoup,76,Non-existent Symbol Reference,No,
Closure,152,Incorrect Repair Strategy,No,
JacksonDatabind,47,No Repair Hallucination,No,
Compress,24,Partial Semantic Repair,No,
Closure,7,Incorrect API Usage,No,
JacksonCore,26,Incorrect Causal Localization,No,
Cli,40,No Repair Hallucination,No,
Closure,55,Non-existent Symbol Reference,No,
JacksonDatabind,33,Partial Semantic Repair,No,
Compress,36,Incorrect Causal Localization,No,
Math,67,Non-existent Symbol Reference,No,
Compress,8,Incorrect Causal Localization,No,
Mockito,31,No Repair Hallucination,No,
Csv,3,Non-existent Symbol Reference,No,
JacksonDatabind,99,No Repair Hallucination,No,
Closure,75,Partial Semantic Repair,No,
JacksonDatabind,15,Non-existent Symbol Reference,No,
JacksonDatabind,98,Incorrect Repair Strategy,No,
Closure,12,Non-existent Symbol Reference,No,
Lang,31,Extraneous Conditional Logic,Yes,
Csv,7,Others,No,Wrong execpetion type
Jsoup,53,Incorrect Causal Localization,No,
Cli,11,No Repair Hallucination,No,
Cli,8,Extraneous Conditional Logic,Yes,
JacksonDatabind,67,No Repair Hallucination,No,
Jsoup,58,Incorrect Repair Strategy,No,
Chart,17,Test-Specific Heuristic Overfitting,Yes,
Closure,71,Incorrect Causal Localization,No,
Closure,92,No Repair Hallucination,No,
Jsoup,8,Missing Import or Dependency,No,
Jsoup,81,Missing Import or Dependency,No,
Closure,172,No Repair Hallucination,No,
Jsoup,58,Incorrect Repair Strategy,No,
JacksonCore,18,Non-existent Symbol Reference,No,
Closure,8,Incorrect API Usage,Yes,
Jsoup,70,No Repair Hallucination,No,
Jsoup,34,No Repair Hallucination,No,
JacksonDatabind,109,Missing Import or Dependency,No,
Chart,7,No Repair Hallucination,No,
Cli,5,No Repair Hallucination,No,
Closure,38,Incorrect Causal Localization,No,
Compress,22,Incorrect Causal Localization,No,
Cli,21,Test-Specific Heuristic Overfitting,Yes,
Closure,143,Partial Semantic Repair,No,
Jsoup,37,Non-existent Symbol Reference,No,
