project,bug_id,folder,class_entry,file,method_sig_snippet,buggy_method_start_line,buggy_method_end_line,changed_buggy_lines
JxPath,1,JxPath-1-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,"public static boolean testNode(Node node, NodeTest test) {",87,135,[116]
JxPath,1,JxPath-1-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,"public static boolean testNode( NodePointer pointer, Object node, NodeTest test)",343,395,[376]
JxPath,10,JxPath-10-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,public final Object computeValue(EvalContext context) {,41,44,[42]
JxPath,11,JxPath-11-buggy,org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator,org/apache/commons/jxpath/ri/model/dom/DOMAttributeIterator.java,"private Attr getAttribute(Element element, QName name) {",106,133,[111]
JxPath,11,JxPath-11-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator,org/apache/commons/jxpath/ri/model/jdom/JDOMAttributeIterator.java,"public JDOMAttributeIterator(NodePointer parent, QName name) {",41,85,[]
JxPath,12,JxPath-12-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,"public static boolean testNode(Node node, NodeTest test) {",87,136,[108]
JxPath,13,JxPath-13-buggy,org.apache.commons.jxpath.ri.NamespaceResolver,org/apache/commons/jxpath/ri/NamespaceResolver.java,public synchronized String getNamespaceURI(String prefix) {,107,124,"[117, 118, 119, 120, 121, 122, 123]"
JxPath,13,JxPath-13-buggy,org.apache.commons.jxpath.ri.NamespaceResolver,org/apache/commons/jxpath/ri/NamespaceResolver.java,public synchronized String getPrefix(String namespaceURI) {,131,163,"[141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 159, 160, 161, 162]"
JxPath,13,JxPath-13-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,public NodeIterator namespaceIterator() {,182,184,[]
JxPath,13,JxPath-13-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,"public NodePointer createAttribute(JXPathContext context, QName name) {",408,430,[415]
JxPath,14,JxPath-14-buggy,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionFloor(EvalContext context) {,653,657,[]
JxPath,14,JxPath-14-buggy,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionCeiling(EvalContext context) {,659,663,[]
JxPath,14,JxPath-14-buggy,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionRound(EvalContext context) {,665,669,[]
JxPath,15,JxPath-15-buggy,org.apache.commons.jxpath.ri.axes.UnionContext,org/apache/commons/jxpath/ri/axes/UnionContext.java,public boolean setPosition(int position) {,45,64,[56]
JxPath,16,JxPath-16-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,"public static boolean testNode(Node node, NodeTest test) {",117,167,"[147, 148]"
JxPath,16,JxPath-16-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,"public static boolean testNode( NodePointer pointer, Object node, NodeTest test)",358,407,[391]
JxPath,17,JxPath-17-buggy,org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator,org/apache/commons/jxpath/ri/model/dom/DOMAttributeIterator.java,private boolean testAttr(Attr attr) {,68,98,"[84, 87, 88, 89, 90, 91, 92, 93, 95]"
JxPath,17,JxPath-17-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator,org/apache/commons/jxpath/ri/model/jdom/JDOMAttributeIterator.java,"public JDOMAttributeIterator(NodePointer parent, QName name) {",41,88,"[70, 76, 82]"
JxPath,18,JxPath-18-buggy,org.apache.commons.jxpath.ri.axes.AttributeContext,org/apache/commons/jxpath/ri/axes/AttributeContext.java,public boolean nextNode() {,71,90,"[75, 78, 79, 80]"
JxPath,19,JxPath-19-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,569,"[560, 561, 562, 565]"
JxPath,19,JxPath-19-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,private int getRelativePositionByQName() {,684,707,"[696, 697]"
JxPath,2,JxPath-2-buggy,org.apache.commons.jxpath.ri.compiler.Expression,org/apache/commons/jxpath/ri/compiler/Expression.java,public Iterator iterate(EvalContext context) {,72,78,[]
JxPath,2,JxPath-2-buggy,org.apache.commons.jxpath.ri.compiler.Expression,org/apache/commons/jxpath/ri/compiler/Expression.java,public Iterator iteratePointers(EvalContext context) {,80,91,[]
JxPath,20,JxPath-20-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,"private boolean compute(Object left, Object right) {",71,99,[88]
JxPath,20,JxPath-20-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,"private boolean containsMatch(Iterator it, Object value) {",122,130,[]
JxPath,21,JxPath-21-buggy,org.apache.commons.jxpath.ri.model.beans.PropertyPointer,org/apache/commons/jxpath/ri/model/beans/PropertyPointer.java,public int getLength() {,151,153,[152]
JxPath,22,JxPath-22-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,public static String getNamespaceURI(Node node) {,672,697,"[689, 694, 696]"
JxPath,3,JxPath-3-buggy,org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer,org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java,public NodePointer createPath(JXPathContext context) {,103,128,[]
JxPath,3,JxPath-3-buggy,org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer,org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java,"public NodePointer createPath(JXPathContext context, Object value) {",130,144,[]
JxPath,3,JxPath-3-buggy,org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer,org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java,private String escape(String string) {,205,223,[]
JxPath,4,JxPath-4-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,protected String getLanguage() {,296,309,"[296, 297, 301]"
JxPath,4,JxPath-4-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,public Object getValue() {,631,633,[]
JxPath,4,JxPath-4-buggy,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private String stringValue(Node node) {,635,661,"[638, 639, 643, 647, 653, 654, 655, 656, 659, 660]"
JxPath,4,JxPath-4-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,public Object getValue() {,238,263,"[240, 250, 251, 252, 253, 256, 257, 258, 260, 261, 262]"
JxPath,4,JxPath-4-buggy,org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,protected String getLanguage() {,435,449,"[436, 440, 441]"
JxPath,5,JxPath-5-buggy,org.apache.commons.jxpath.ri.model.NodePointer,org/apache/commons/jxpath/ri/model/NodePointer.java,"private int compareNodePointers( NodePointer p1, int depth1, NodePointer p2, int depth2)",642,675,"[665, 666, 667]"
JxPath,6,JxPath-6-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,org/apache/commons/jxpath/ri/compiler/CoreOperationCompare.java,"protected boolean equal( EvalContext context, Expression left, Expression right)",45,83,"[57, 61]"
JxPath,7,JxPath-7-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationGreaterThan,org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,public Object computeValue(org.apache.commons.jxpath.ri.EvalContext context) {,31,35,"[31, 32, 33, 34]"
JxPath,7,JxPath-7-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationGreaterThanOrEqual,org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,public Object computeValue(org.apache.commons.jxpath.ri.EvalContext context) {,32,36,"[32, 33, 34, 35]"
JxPath,7,JxPath-7-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationLessThan,org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,public Object computeValue(org.apache.commons.jxpath.ri.EvalContext context) {,31,35,"[31, 32, 33, 34]"
JxPath,7,JxPath-7-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationLessThanOrEqual,org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,public Object computeValue(org.apache.commons.jxpath.ri.EvalContext context) {,32,36,"[32, 33, 34, 35]"
JxPath,7,JxPath-7-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,protected CoreOperationRelationalExpression(Expression[] args) {,29,31,[]
JxPath,7,JxPath-7-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,protected final boolean isSymmetric() {,38,40,[]
JxPath,8,JxPath-8-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,"private boolean compute(Object left, Object right) {",56,78,[]
JxPath,9,JxPath-9-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,org/apache/commons/jxpath/ri/compiler/CoreOperationCompare.java,"public CoreOperationCompare(Expression arg1, Expression arg2) {",38,41,[]
JxPath,9,JxPath-9-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,org/apache/commons/jxpath/ri/compiler/CoreOperationCompare.java,"protected boolean equal(Object l, Object r) {",122,151,"[123, 124, 125, 126, 127, 136, 137, 138, 140, 141, 143, 144, 147, 148, 150]"
JxPath,9,JxPath-9-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationEqual,org/apache/commons/jxpath/ri/compiler/CoreOperationEqual.java,public Object computeValue(org.apache.commons.jxpath.ri.EvalContext context) {,31,33,"[31, 32, 33]"
JxPath,9,JxPath-9-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationNotEqual,org/apache/commons/jxpath/ri/compiler/CoreOperationNotEqual.java,"public CoreOperationNotEqual(Expression arg1, Expression arg2) {",27,29,[28]
JxPath,9,JxPath-9-buggy,org.apache.commons.jxpath.ri.compiler.CoreOperationNotEqual,org/apache/commons/jxpath/ri/compiler/CoreOperationNotEqual.java,public Object computeValue(org.apache.commons.jxpath.ri.EvalContext context) {,31,33,"[31, 32, 33]"
