model,project,bug_id,status
DeepSeek,JacksonCore,1,not pass
DeepSeek,JacksonCore,2,not pass
DeepSeek,JacksonCore,3,not compilable
DeepSeek,JacksonCore,4,not pass
DeepSeek,JacksonCore,5,pass
DeepSeek,JacksonCore,6,pass
DeepSeek,JacksonCore,7,not pass
DeepSeek,JacksonCore,8,pass
DeepSeek,JacksonCore,9,not compilable
DeepSeek,JacksonCore,10,not pass
DeepSeek,JacksonCore,11,not pass
DeepSeek,JacksonCore,12,not pass
DeepSeek,JacksonCore,13,not pass
DeepSeek,JacksonCore,14,not pass
DeepSeek,JacksonCore,15,not pass
DeepSeek,JacksonCore,16,not pass
DeepSeek,JacksonCore,17,not pass
DeepSeek,JacksonCore,18,not pass
DeepSeek,JacksonCore,19,not pass
DeepSeek,JacksonCore,20,not pass
DeepSeek,JacksonCore,21,not pass
DeepSeek,JacksonCore,22,not pass
DeepSeek,JacksonCore,23,not compilable
DeepSeek,JacksonCore,24,not pass
DeepSeek,JacksonCore,25,not pass
DeepSeek,JacksonCore,26,not pass
