model,project,bug_id,status
DeepSeek,Mockito,1,pass
DeepSeek,Mockito,2,not pass
DeepSeek,Mockito,3,not pass
DeepSeek,Mockito,4,not pass
DeepSeek,Mockito,5,pass
DeepSeek,Mockito,6,not compilable
DeepSeek,Mockito,7,not pass
DeepSeek,Mockito,8,not pass
DeepSeek,Mockito,9,not pass
DeepSeek,Mockito,10,not compilable
DeepSeek,Mockito,11,not compilable
DeepSeek,Mockito,12,pass
DeepSeek,Mockito,13,not compilable
DeepSeek,Mockito,14,not pass
DeepSeek,Mockito,15,not pass
DeepSeek,Mockito,16,pass
DeepSeek,Mockito,17,not compilable
DeepSeek,Mockito,18,not compilable
DeepSeek,Mockito,19,not pass
DeepSeek,Mockito,20,not pass
DeepSeek,Mockito,21,pass
DeepSeek,Mockito,22,not pass
DeepSeek,Mockito,23,not pass
DeepSeek,Mockito,24,pass
DeepSeek,Mockito,25,not compilable
DeepSeek,Mockito,27,not pass
DeepSeek,Mockito,28,not compilable
DeepSeek,Mockito,29,pass
DeepSeek,Mockito,30,not pass
DeepSeek,Mockito,31,not pass
DeepSeek,Mockito,32,not pass
DeepSeek,Mockito,33,not compilable
DeepSeek,Mockito,34,pass
DeepSeek,Mockito,35,not pass
DeepSeek,Mockito,36,not compilable
DeepSeek,Mockito,37,not pass
DeepSeek,Mockito,38,pass
