project,bug_id,folder,error
Jacksondatabind,1,JacksonDatabind-1-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,1,JacksonDatabind-1-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,Not Compilable: test suite failed to compile
Jacksondatabind,100,JacksonDatabind-100-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,100,JacksonDatabind-100-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,100,JacksonDatabind-100-buggy_ind3,Not Compilable: test suite failed to compile
Jacksondatabind,102,JacksonDatabind-102-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,107,JacksonDatabind-107-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,109,JacksonDatabind-109-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,109,JacksonDatabind-109-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,11,JacksonDatabind-11-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,11,JacksonDatabind-11-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,110,JacksonDatabind-110-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,110,JacksonDatabind-110-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,112,JacksonDatabind-112-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,112,JacksonDatabind-112-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,14,JacksonDatabind-14-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,15,JacksonDatabind-15-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,15,JacksonDatabind-15-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,18,JacksonDatabind-18-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,18,JacksonDatabind-18-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,19,JacksonDatabind-19-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,19,JacksonDatabind-19-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,19,JacksonDatabind-19-buggy_ind3,Not Compilable: test suite failed to compile
Jacksondatabind,22,JacksonDatabind-22-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,22,JacksonDatabind-22-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,25,JacksonDatabind-25-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,28,JacksonDatabind-28-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,30,JacksonDatabind-30-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,30,JacksonDatabind-30-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,34,JacksonDatabind-34-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,34,JacksonDatabind-34-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,37,JacksonDatabind-37-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,37,JacksonDatabind-37-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,39,JacksonDatabind-39-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,39,JacksonDatabind-39-buggy_ind2,Not Compilable: test suite failed to compile
Jacksondatabind,43,JacksonDatabind-43-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,45,JacksonDatabind-45-buggy_ind1,Not Compilable: test suite failed to compile
Jacksondatabind,45,JacksonDatabind-45-buggy_ind2,Not Compilable: test suite failed to compile
