model,project,bug_id,status
Claude,JacksonDatabind,1,not pass
Claude,JacksonDatabind,2,not pass
Claude,JacksonDatabind,3,not pass
Claude,JacksonDatabind,4,not compilable
Claude,JacksonDatabind,5,not pass
Claude,JacksonDatabind,6,not pass
Claude,JacksonDatabind,7,not pass
Claude,JacksonDatabind,8,pass
Claude,JacksonDatabind,9,not pass
Claude,JacksonDatabind,10,not pass
Claude,JacksonDatabind,11,not compilable
Claude,JacksonDatabind,12,not pass
Claude,JacksonDatabind,13,not compilable
Claude,JacksonDatabind,14,not pass
Claude,JacksonDatabind,15,not compilable
Claude,JacksonDatabind,16,not pass
Claude,JacksonDatabind,17,not pass
Claude,JacksonDatabind,18,not pass
Claude,JacksonDatabind,19,not pass
Claude,JacksonDatabind,20,not pass
Claude,JacksonDatabind,21,not pass
Claude,JacksonDatabind,22,not pass
Claude,JacksonDatabind,23,not pass
Claude,JacksonDatabind,24,not pass
Claude,JacksonDatabind,25,not pass
Claude,JacksonDatabind,27,not pass
Claude,JacksonDatabind,28,pass
Claude,JacksonDatabind,29,pass
Claude,JacksonDatabind,30,not pass
Claude,JacksonDatabind,31,not pass
Claude,JacksonDatabind,32,not pass
Claude,JacksonDatabind,33,not pass
Claude,JacksonDatabind,34,not pass
Claude,JacksonDatabind,35,not compilable
Claude,JacksonDatabind,36,not pass
Claude,JacksonDatabind,37,not pass
Claude,JacksonDatabind,38,not pass
Claude,JacksonDatabind,39,not pass
Claude,JacksonDatabind,41,not pass
Claude,JacksonDatabind,42,pass
Claude,JacksonDatabind,43,not pass
Claude,JacksonDatabind,44,not pass
Claude,JacksonDatabind,45,not compilable
Claude,JacksonDatabind,46,not pass
Claude,JacksonDatabind,47,not pass
Claude,JacksonDatabind,48,not pass
Claude,JacksonDatabind,49,not compilable
Claude,JacksonDatabind,50,not pass
Claude,JacksonDatabind,51,not pass
Claude,JacksonDatabind,52,not pass
Claude,JacksonDatabind,53,not pass
Claude,JacksonDatabind,54,not pass
Claude,JacksonDatabind,55,not pass
Claude,JacksonDatabind,56,not pass
Claude,JacksonDatabind,57,not pass
Claude,JacksonDatabind,58,not pass
Claude,JacksonDatabind,59,not pass
Claude,JacksonDatabind,60,not pass
Claude,JacksonDatabind,61,not pass
Claude,JacksonDatabind,62,not pass
Claude,JacksonDatabind,63,not pass
Claude,JacksonDatabind,64,not pass
Claude,JacksonDatabind,66,not compilable
Claude,JacksonDatabind,67,not pass
Claude,JacksonDatabind,68,not pass
Claude,JacksonDatabind,69,not pass
Claude,JacksonDatabind,70,pass
Claude,JacksonDatabind,71,not pass
Claude,JacksonDatabind,73,not pass
Claude,JacksonDatabind,74,not compilable
Claude,JacksonDatabind,75,not pass
Claude,JacksonDatabind,76,not pass
Claude,JacksonDatabind,77,not compilable
Claude,JacksonDatabind,78,not compilable
Claude,JacksonDatabind,79,not compilable
Claude,JacksonDatabind,80,not pass
Claude,JacksonDatabind,81,not pass
Claude,JacksonDatabind,82,not pass
Claude,JacksonDatabind,83,pass
Claude,JacksonDatabind,84,not pass
Claude,JacksonDatabind,85,not pass
Claude,JacksonDatabind,86,not pass
Claude,JacksonDatabind,87,not pass
Claude,JacksonDatabind,88,not pass
Claude,JacksonDatabind,90,not pass
Claude,JacksonDatabind,91,not pass
Claude,JacksonDatabind,93,pass
Claude,JacksonDatabind,94,not pass
Claude,JacksonDatabind,95,not pass
Claude,JacksonDatabind,96,not pass
Claude,JacksonDatabind,97,not pass
Claude,JacksonDatabind,98,not compilable
Claude,JacksonDatabind,99,not pass
Claude,JacksonDatabind,100,not compilable
Claude,JacksonDatabind,101,not pass
Claude,JacksonDatabind,102,not pass
Claude,JacksonDatabind,103,not pass
Claude,JacksonDatabind,104,not pass
Claude,JacksonDatabind,105,not pass
Claude,JacksonDatabind,106,not pass
Claude,JacksonDatabind,107,not pass
Claude,JacksonDatabind,108,not compilable
Claude,JacksonDatabind,109,not compilable
Claude,JacksonDatabind,110,not compilable
Claude,JacksonDatabind,111,not compilable
Claude,JacksonDatabind,112,not pass
