project,bug_id,folder,jacoco_xml,error
Chart,1,Chart-1-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-1-buggy/jacoco.xml,Missing jacoco.xml
Chart,1,Chart-1-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-1-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind3,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind3/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind3,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind3/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind4,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind4/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind4,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind4/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind5,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind5/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind5,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind5/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind6,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind6/jacoco.xml,Missing jacoco.xml
Chart,16,Chart-16-buggy_ind6,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-16-buggy_ind6/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,18,Chart-18-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-18-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,19,Chart-19-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-19-buggy/jacoco.xml,Missing jacoco.xml
Chart,19,Chart-19-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-19-buggy/jacoco.xml,Missing jacoco.xml
Chart,19,Chart-19-buggy_ind3,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-19-buggy_ind3/jacoco.xml,Missing jacoco.xml
Chart,19,Chart-19-buggy_ind3,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-19-buggy_ind3/jacoco.xml,Missing jacoco.xml
Chart,23,Chart-23-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-23-buggy/jacoco.xml,Missing jacoco.xml
Chart,23,Chart-23-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-23-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,23,Chart-23-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-23-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,26,Chart-26-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-26-buggy/jacoco.xml,Missing jacoco.xml
Chart,26,Chart-26-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-26-buggy_ind1/jacoco.xml,Missing jacoco.xml
Chart,26,Chart-26-buggy_ind2,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-26-buggy_ind2/jacoco.xml,Missing jacoco.xml
Chart,7,Chart-7-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-7-buggy/jacoco.xml,Missing jacoco.xml
Chart,8,Chart-8-buggy,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-8-buggy/jacoco.xml,Missing jacoco.xml
Chart,8,Chart-8-buggy_ind1,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j-GPT4o/Chart/Chart-8-buggy_ind1/jacoco.xml,Missing jacoco.xml
