reason,project,idx,sample_dir,buggy_path,tests_path
missing_tests,Cli,36,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_36,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_36/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_36/tests_exp3.java
missing_tests,Cli,7,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_7,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_7/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_7/tests_exp3.java
missing_tests,Closure,150,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_150,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_150/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_150/tests_exp3.java
missing_tests,Closure,168,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_168,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_168/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_168/tests_exp3.java
missing_tests,Codec,13,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_13,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_13/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_13/tests_exp3.java
missing_tests,Codec,16,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_16,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_16/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_16/tests_exp3.java
missing_tests,Collections,10,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Collections/Collections_10,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Collections/Collections_10/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Collections/Collections_10/tests_exp3.java
missing_tests,Csv,12,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Csv/Csv_12,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Csv/Csv_12/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Csv/Csv_12/tests_exp3.java
missing_tests,JacksonDatabind,26,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_26,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_26/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_26/tests_exp3.java
missing_tests,JacksonDatabind,40,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_40,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_40/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_40/tests_exp3.java
