project,bug_id,folder,error
Chart,4,Chart-4-buggy,Not Compilable: test suite failed to compile
Chart,23,Chart-23-buggy,Not Compilable: test suite failed to compile
Chart,26,Chart-26-buggy,Not Compilable: test suite failed to compile
Cli,11,Cli-11-buggy,Not Compilable: test suite failed to compile
Chart,2,Chart-2-buggy,Not Compilable: test suite failed to compile
Chart,4,Chart-4-buggy,Not Compilable: test suite failed to compile
Chart,2,Chart-2-buggy,Not Compilable: test suite failed to compile
Chart,4,Chart-4-buggy,Not Compilable: test suite failed to compile
Closure,3,Closure-3-buggy,Not Compilable: test suite failed to compile
Closure,9,Closure-9-buggy,Not Compilable: test suite failed to compile
Closure,10,Closure-10-buggy,Not Compilable: test suite failed to compile
Closure,15,Closure-15-buggy,Not Compilable: test suite failed to compile
Closure,16,Closure-16-buggy,Not Compilable: test suite failed to compile
Closure,20,Closure-20-buggy,Not Compilable: test suite failed to compile
Closure,21,Closure-21-buggy,Not Compilable: test suite failed to compile
Closure,22,Closure-22-buggy,Not Compilable: test suite failed to compile
Closure,23,Closure-23-buggy,Not Compilable: test suite failed to compile
Closure,28,Closure-28-buggy,Not Compilable: test suite failed to compile
Closure,40,Closure-40-buggy,Not Compilable: test suite failed to compile
Closure,41,Closure-41-buggy,Not Compilable: test suite failed to compile
Closure,47,Closure-47-buggy,Not Compilable: test suite failed to compile
Closure,50,Closure-50-buggy,Not Compilable: test suite failed to compile
Closure,52,Closure-52-buggy,Not Compilable: test suite failed to compile
Closure,57,Closure-57-buggy,Not Compilable: test suite failed to compile
Closure,61,Closure-61-buggy,Not Compilable: test suite failed to compile
Closure,70,Closure-70-buggy,Not Compilable: test suite failed to compile
Closure,73,Closure-73-buggy,Not Compilable: test suite failed to compile
Closure,74,Closure-74-buggy,Not Compilable: test suite failed to compile
Closure,76,Closure-76-buggy,Not Compilable: test suite failed to compile
Closure,85,Closure-85-buggy,Not Compilable: test suite failed to compile
Closure,87,Closure-87-buggy,Not Compilable: test suite failed to compile
Closure,88,Closure-88-buggy,Not Compilable: test suite failed to compile
Closure,90,Closure-90-buggy,Not Compilable: test suite failed to compile
Closure,97,Closure-97-buggy,Not Compilable: test suite failed to compile
Closure,99,Closure-99-buggy,Not Compilable: test suite failed to compile
Closure,105,Closure-105-buggy,Not Compilable: test suite failed to compile
Closure,111,Closure-111-buggy,Not Compilable: test suite failed to compile
Closure,121,Closure-121-buggy,Not Compilable: test suite failed to compile
Closure,123,Closure-123-buggy,Not Compilable: test suite failed to compile
Closure,126,Closure-126-buggy,Not Compilable: test suite failed to compile
Closure,131,Closure-131-buggy,Not Compilable: test suite failed to compile
Closure,137,Closure-137-buggy,Not Compilable: test suite failed to compile
Closure,139,Closure-139-buggy,Not Compilable: test suite failed to compile
Closure,145,Closure-145-buggy,Not Compilable: test suite failed to compile
Closure,153,Closure-153-buggy,Not Compilable: test suite failed to compile
Closure,157,Closure-157-buggy,Not Compilable: test suite failed to compile
Closure,160,Closure-160-buggy,Not Compilable: test suite failed to compile
Closure,161,Closure-161-buggy,Not Compilable: test suite failed to compile
