project,bug_id,class_fqn,method_name
Chart,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660
Chart,2,org.jfree.data.general.junit.DatasetUtilitiesTests,testBug2849731_2
Chart,2,org.jfree.data.general.junit.DatasetUtilitiesTests,testBug2849731_3
Chart,3,org.jfree.data.time.junit.TimeSeriesTests,testCreateCopy3
Chart,4,org.jfree.chart.axis.junit.LogAxisTests,testXYAutoRange1
Chart,4,org.jfree.chart.axis.junit.LogAxisTests,testXYAutoRange2
Chart,4,org.jfree.chart.axis.junit.NumberAxisTests,testXYAutoRange1
Chart,4,org.jfree.chart.axis.junit.NumberAxisTests,testXYAutoRange2
Chart,4,org.jfree.chart.axis.junit.ValueAxisTests,testAxisMargins
Chart,4,org.jfree.chart.junit.JFreeChartTests,testSerialization4
Chart,4,org.jfree.chart.junit.ScatterPlotTests,testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.ScatterPlotTests,testReplaceDataset
Chart,4,org.jfree.chart.junit.ScatterPlotTests,testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.TimeSeriesChartTests,testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.TimeSeriesChartTests,testReplaceDataset
Chart,4,org.jfree.chart.junit.TimeSeriesChartTests,testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.XYAreaChartTests,testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.XYAreaChartTests,testReplaceDataset
Chart,4,org.jfree.chart.junit.XYAreaChartTests,testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.XYStepAreaChartTests,testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.XYStepAreaChartTests,testReplaceDataset
Chart,4,org.jfree.chart.junit.XYStepAreaChartTests,testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.XYStepChartTests,testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.XYStepChartTests,testReplaceDataset
Chart,4,org.jfree.chart.junit.XYStepChartTests,testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines
Chart,5,org.jfree.data.xy.junit.XYSeriesTests,testBug1955483
Chart,6,org.jfree.chart.util.junit.ShapeListTests,testEquals
Chart,6,org.jfree.chart.util.junit.ShapeListTests,testSerialization
Chart,7,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex
Chart,8,org.jfree.data.time.junit.WeekTests,testConstructor
Chart,9,org.jfree.data.time.junit.TimeSeriesTests,testBug1864222
Chart,10,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests,testGenerateURLFragment
Chart,11,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths
Chart,12,org.jfree.chart.plot.junit.MultiplePiePlotTests,testConstructor
Chart,13,org.jfree.chart.block.junit.BorderArrangementTests,testSizingWithWidthConstraint
Chart,14,org.jfree.chart.plot.junit.CategoryPlotTests,testRemoveDomainMarker
Chart,14,org.jfree.chart.plot.junit.CategoryPlotTests,testRemoveRangeMarker
Chart,14,org.jfree.chart.plot.junit.XYPlotTests,testRemoveDomainMarker
Chart,14,org.jfree.chart.plot.junit.XYPlotTests,testRemoveRangeMarker
Chart,15,org.jfree.chart.plot.junit.PiePlot3DTests,testDrawWithNullDataset
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testCloning2
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetCategoryIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetColumnCount
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetColumnIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetRowCount
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetRowIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testGetSeriesIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetCategoryKeys
Chart,17,org.jfree.data.time.junit.TimeSeriesTests,testBug1832432
Chart,18,org.jfree.data.category.junit.DefaultCategoryDatasetTests,testBug1835955
Chart,18,org.jfree.data.junit.DefaultKeyedValues2DTests,testRemoveColumnByKey
Chart,18,org.jfree.data.junit.DefaultKeyedValuesTests,testGetIndex2
Chart,18,org.jfree.data.junit.DefaultKeyedValuesTests,testRemoveValue
Chart,19,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisIndex
Chart,19,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex
Chart,20,org.jfree.chart.plot.junit.ValueMarkerTests,test1808376
