project,bug_id,folder,error
Chart,7,Chart-7-buggy,Not Compilable: test suite failed to compile
Chart,8,Chart-8-buggy,Not Compilable: test suite failed to compile
Chart,16,Chart-16-buggy,Not Compilable: test suite failed to compile
Chart,18,Chart-18-buggy,Not Compilable: test suite failed to compile
Chart,19,Chart-19-buggy,Not Compilable: test suite failed to compile
Chart,23,Chart-23-buggy,Not Compilable: test suite failed to compile
Chart,26,Chart-26-buggy,Not Compilable: test suite failed to compile
Chart,7,Chart-7-buggy,Not Compilable: test suite failed to compile
Chart,8,Chart-8-buggy,Not Compilable: test suite failed to compile
Chart,16,Chart-16-buggy,Not Compilable: test suite failed to compile
Chart,18,Chart-18-buggy,Not Compilable: test suite failed to compile
Chart,19,Chart-19-buggy,Not Compilable: test suite failed to compile
Chart,23,Chart-23-buggy,Not Compilable: test suite failed to compile
Chart,26,Chart-26-buggy,Not Compilable: test suite failed to compile
Cli,12,Cli-12-buggy,Not Compilable: test suite failed to compile
Cli,13,Cli-13-buggy,Not Compilable: test suite failed to compile
Cli,14,Cli-14-buggy,Not Compilable: test suite failed to compile
Cli,16,Cli-16-buggy,Not Compilable: test suite failed to compile
Cli,35,Cli-35-buggy,Not Compilable: test suite failed to compile
Cli,38,Cli-38-buggy,Not Compilable: test suite failed to compile
Cli,10,Cli-10-buggy,Not Compilable: test suite failed to compile
Cli,12,Cli-12-buggy,Not Compilable: test suite failed to compile
Cli,13,Cli-13-buggy,Not Compilable: test suite failed to compile
Cli,14,Cli-14-buggy,Not Compilable: test suite failed to compile
Cli,16,Cli-16-buggy,Not Compilable: test suite failed to compile
Cli,19,Cli-19-buggy,Not Compilable: test suite failed to compile
Cli,35,Cli-35-buggy,Not Compilable: test suite failed to compile
Cli,38,Cli-38-buggy,Not Compilable: test suite failed to compile
Cli,39,Cli-39-buggy,Not Compilable: test suite failed to compile
Closure,1,Closure-1-buggy,Not Compilable: test suite failed to compile
Closure,3,Closure-3-buggy,Not Compilable: test suite failed to compile
Closure,7,Closure-7-buggy,Not Compilable: test suite failed to compile
Closure,19,Closure-19-buggy,Not Compilable: test suite failed to compile
Closure,54,Closure-54-buggy,Not Compilable: test suite failed to compile
Closure,55,Closure-55-buggy,Not Compilable: test suite failed to compile
Closure,56,Closure-56-buggy,Not Compilable: test suite failed to compile
Closure,58,Closure-58-buggy,Not Compilable: test suite failed to compile
Closure,68,Closure-68-buggy,Not Compilable: test suite failed to compile
Closure,80,Closure-80-buggy,Not Compilable: test suite failed to compile
Closure,82,Closure-82-buggy,Not Compilable: test suite failed to compile
Closure,88,Closure-88-buggy,Not Compilable: test suite failed to compile
Closure,95,Closure-95-buggy,Not Compilable: test suite failed to compile
Closure,122,Closure-122-buggy,Not Compilable: test suite failed to compile
Closure,131,Closure-131-buggy,Not Compilable: test suite failed to compile
Closure,136,Closure-136-buggy,Not Compilable: test suite failed to compile
Closure,147,Closure-147-buggy,Not Compilable: test suite failed to compile
Closure,158,Closure-158-buggy,Not Compilable: test suite failed to compile
Closure,167,Closure-167-buggy,Not Compilable: test suite failed to compile
Codec,3,Codec-3-buggy,Not Compilable: test suite failed to compile
Codec,8,Codec-8-buggy,Not Compilable: test suite failed to compile
Codec,9,Codec-9-buggy,Not Compilable: test suite failed to compile
Codec,11,Codec-11-buggy,Not Compilable: test suite failed to compile
Codec,12,Codec-12-buggy,Not Compilable: test suite failed to compile
Codec,15,Codec-15-buggy,Not Compilable: test suite failed to compile
Codec,3,Codec-3-buggy,Not Compilable: test suite failed to compile
Codec,8,Codec-8-buggy,Not Compilable: test suite failed to compile
Codec,9,Codec-9-buggy,Not Compilable: test suite failed to compile
Codec,11,Codec-11-buggy,Not Compilable: test suite failed to compile
Codec,12,Codec-12-buggy,Not Compilable: test suite failed to compile
Codec,14,Codec-14-buggy,Not Compilable: test suite failed to compile
Codec,15,Codec-15-buggy,Not Compilable: test suite failed to compile
Collections,1,Collections-1-buggy,Not Compilable: test suite failed to compile
Collections,5,Collections-5-buggy,Not Compilable: test suite failed to compile
Collections,7,Collections-7-buggy,Not Compilable: test suite failed to compile
Collections,17,Collections-17-buggy,Not Compilable: test suite failed to compile
Collections,22,Collections-22-buggy,Not Compilable: test suite failed to compile
Collections,24,Collections-24-buggy,Not Compilable: test suite failed to compile
Collections,25,Collections-25-buggy,Not Compilable: test suite failed to compile
Collections,26,Collections-26-buggy,Not Compilable: test suite failed to compile
Collections,27,Collections-27-buggy,Not Compilable: test suite failed to compile
Collections,28,Collections-28-buggy,Not Compilable: test suite failed to compile
Compress,1,Compress-1-buggy,Not Compilable: test suite failed to compile
Compress,6,Compress-6-buggy,Not Compilable: test suite failed to compile
Compress,7,Compress-7-buggy,Not Compilable: test suite failed to compile
Compress,12,Compress-12-buggy,Not Compilable: test suite failed to compile
Compress,13,Compress-13-buggy,Not Compilable: test suite failed to compile
Compress,19,Compress-19-buggy,Not Compilable: test suite failed to compile
