bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notpass
2,0.16731517509727625,0.9148936170212766,0.28289473684210525,0.17307692307692307,0.9574468085106383,0.2931596091205212,0.28289473684210525,0.2931596091205212,notpass
3,1.0,0.6666666666666666,0.8,1.0,0.7,0.8235294117647058,0.8,0.8235294117647058,notpass
4,1.0,0.25,0.4,1.0,0.25,0.4,0.4,0.4,pass
5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.4444444444444444,pass
6,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.6666666666666665,0.7272727272727274,pass
7,0.7,1.0,0.8235294117647058,0.6666666666666666,1.0,0.8,0.8235294117647058,0.8,notpass
8,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,0.8,1.0,pass
9,0.18518518518518517,0.7142857142857143,0.2941176470588235,0.18518518518518517,0.7142857142857143,0.2941176470588235,0.2941176470588235,0.2941176470588235,notpass
10,1.0,0.9565217391304348,0.9777777777777777,1.0,0.9583333333333334,0.9787234042553191,0.9777777777777777,0.9787234042553191,notpass
11,0.8571428571428571,1.0,0.923076923076923,1.0,0.75,0.8571428571428571,0.923076923076923,0.8571428571428571,pass
12,0.13157894736842105,0.8571428571428571,0.22813688212927757,0.12931034482758622,0.8571428571428571,0.22471910112359553,0.22813688212927757,0.22471910112359553,notpass
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
14,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8,0.8,notpass
15,0.2358490566037736,0.9615384615384616,0.3787878787878788,0.2336448598130841,0.9615384615384616,0.37593984962406013,0.3787878787878788,0.37593984962406013,notpass
16,1.0,1.0,1.0,0.9,1.0,0.9473684210526316,1.0,0.9473684210526316,notpass
17,0.6756756756756757,1.0,0.8064516129032258,0.625,1.0,0.7692307692307693,0.8064516129032258,0.7692307692307693,notpass
18,0.2857142857142857,1.0,0.4444444444444445,0.5,1.0,0.6666666666666666,0.4444444444444445,0.6666666666666666,notpass
19,0.3333333333333333,0.8571428571428571,0.48,0.449438202247191,0.7407407407407407,0.5594405594405595,0.48,0.5594405594405595,pass
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
21,0.4056603773584906,0.8269230769230769,0.5443037974683544,0.411214953271028,0.8461538461538461,0.5534591194968553,0.5443037974683544,0.5534591194968553,notpass
22,0.6366906474820144,0.9123711340206185,0.7500000000000001,0.6357142857142857,0.9128205128205128,0.7494736842105264,0.7500000000000001,0.7494736842105264,notpass
23,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,pass
24,0.27586206896551724,1.0,0.4324324324324324,0.0,0.0,0.0,0.4324324324324324,0.0,not_compilable
25,0.23076923076923078,1.0,0.375,0.8076923076923077,0.9545454545454546,0.875,0.375,0.875,pass
26,0.7,0.7,0.7,0.7,0.6363636363636364,0.6666666666666666,0.7,0.6666666666666666,notpass
