reason,project,idx,sample_dir,buggy_path,tests_path
empty_buggy_after_filter,Cli,36,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_36,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_36/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_36/tests.java
empty_buggy_after_filter,Cli,7,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_7,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_7/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Cli/Cli_7/tests.java
empty_buggy_after_filter,Closure,150,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_150,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_150/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_150/tests.java
empty_buggy_after_filter,Closure,168,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_168,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_168/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Closure/Closure_168/tests.java
missing_tests,Codec,13,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_13,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_13/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_13/tests.java
empty_buggy_after_filter,Codec,16,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_16,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_16/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Codec/Codec_16/tests.java
empty_buggy_after_filter,Collections,10,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Collections/Collections_10,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Collections/Collections_10/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Collections/Collections_10/tests.java
empty_buggy_after_filter,Csv,12,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Csv/Csv_12,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Csv/Csv_12/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Csv/Csv_12/tests.java
empty_buggy_after_filter,JacksonDatabind,26,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_26,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_26/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_26/tests.java
empty_buggy_after_filter,JacksonDatabind,92,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_92,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_92/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_92/tests.java
