project,bug_id,label,overfitting,label_if_others
Chart,19,Incorrect Causal Localization,No,
Closure,4,Incorrect Causal Localization,No,
Closure,4,No Repair Hallucination,No,
Closure,4,Incorrect Causal Localization,No,
Closure,6,Incorrect Causal Localization,No,
Closure,10,No Repair Hallucination,No,
Closure,10,No Repair Hallucination,No,
Closure,19,Non-existent Symbol Reference,No,
Closure,21,Partial Semantic Repair,No,
Closure,21,Incorrect Causal Localization,No,
Closure,25,No Repair Hallucination,No,
Closure,26,Incorrect Causal Localization,No,
Closure,26,Incorrect Causal Localization,No,
Closure,27,Incorrect Causal Localization,No,
Closure,30,Incorrect Causal Localization,No,
Closure,31,No Repair Hallucination,No,
Closure,31,No Repair Hallucination,No,
Closure,33,No Repair Hallucination,No,
Closure,37,No Repair Hallucination,No,
Closure,41,Non-existent Symbol Reference,No,
Closure,44,No Repair Hallucination,No,
Closure,47,Incorrect Causal Localization,No,
Closure,47,Incorrect Causal Localization,No,
Closure,57,Incorrect Repair Strategy,No,
Closure,59,Incorrect Causal Localization,No,
Closure,64,Incorrect Causal Localization,No,
Closure,64,Incorrect Causal Localization,No,
Closure,65,No Repair Hallucination,No,
Closure,66,No Repair Hallucination,No,
Closure,68,Partial Semantic Repair,No,
Closure,69,Incorrect Causal Localization,No,
Closure,69,Incorrect Causal Localization,No,
Closure,71,Incorrect Boundary Check,No,
Closure,80,Incorrect Causal Localization,No,
Closure,82,Incorrect Boundary Check,No,
Closure,84,Incorrect Causal Localization,No,
Closure,84,Incorrect Causal Localization,No,
Closure,90,Non-existent Symbol Reference,No,
Closure,91,No Repair Hallucination,No,
Closure,117,Incorrect Repair Strategy,No,
Closure,117,No Repair Hallucination,No,
Closure,118,Incorrect Causal Localization,No,
Closure,122,Incorrect Repair Strategy,No,
Closure,122,Incorrect Causal Localization,No,
Closure,123,Incorrect Causal Localization,No,
Closure,125,Incorrect Causal Localization,No,
Closure,125,Incorrect Causal Localization,No,
Closure,129,No Repair Hallucination,No,
Closure,129,Incorrect Repair Strategy,No,
Closure,147,Incorrect Repair Strategy,No,
Closure,149,Incorrect Causal Localization,No,
Closure,149,Incorrect Causal Localization,No,
Closure,158,Incorrect Causal Localization,No,
Closure,158,Incorrect Repair Strategy,No,
Closure,162,Incorrect Repair Strategy,No,
Closure,172,Incorrect Causal Localization,No,
Compress,26,No Repair Hallucination,No,
Csv,10,No Repair Hallucination,No,
Csv,11,Incorrect Repair Strategy,No,
Gson,9,Incorrect Causal Localization,No,
JacksonCore,11,Incorrect Causal Localization,No,
JacksonDatabind,10,Incorrect Repair Strategy,No,
JacksonDatabind,20,Incorrect Causal Localization,No,
JacksonDatabind,21,Incorrect Repair Strategy,No,
JacksonDatabind,33,Incorrect Causal Localization,No,
JacksonDatabind,35,Incorrect Causal Localization,No,
JacksonDatabind,48,Partial Semantic Repair,No,
JacksonDatabind,58,Incorrect Repair Strategy,No,
JacksonDatabind,63,No Repair Hallucination,No,
JacksonDatabind,67,Incorrect Causal Localization,No,
JacksonDatabind,76,Incorrect Causal Localization,No,
JacksonDatabind,84,Incorrect Causal Localization,No,
JacksonDatabind,99,No Repair Hallucination,No,
JacksonXml,4,Non-existent Symbol Reference,No,
Jsoup,12,Incorrect Causal Localization,No,
Jsoup,26,No Repair Hallucination,No,
Jsoup,53,No Repair Hallucination,No,
Jsoup,83,Partial Semantic Repair,No,
JxPath,5,Incorrect Repair Strategy,No,
JxPath,22,Incorrect Repair Strategy,No,
Lang,5,No Repair Hallucination,No,
Math,1,Incorrect Repair Strategy,No,
Math,15,Incorrect Causal Localization,No,
Math,40,Incorrect Causal Localization,No,
Mockito,20,No Repair Hallucination,No,
Mockito,21,No Repair Hallucination,No,
Mockito,24,No Repair Hallucination,No,
Time,6,Incorrect Causal Localization,No,
Time,8,Incorrect Repair Strategy,No,
Time,15,No Repair Hallucination,No,
Time,18,Syntax or Structural Error,No,
Time,20,No Repair Hallucination,No,
Time,23,No Repair Hallucination,No,
Time,25,No Repair Hallucination,No,
